adm_cd2,adm_nm,signgu_cd,signgu_nm,area_km2,pop_total,pop_male,pop_female,pop_under20,pop_20s,pop_30s,pop_40s,pop_50s,pop_60plus,sex_ratio,ratio_2030,ratio_4050,ratio_60plus,total_stores,avg_dist_to_subway_m,ratio_stores_in_subway_zone,avg_dist_to_parking_m,avg_parking_capacity_300m,category_entropy,category_hhi,top_industry_lcls,top_industry_mcls,stores_과학·기술,stores_교육,stores_보건의료,stores_부동산,stores_소매,stores_수리·개인,stores_숙박,stores_시설관리·임대,stores_예술·스포츠,stores_음식,dong_station_count,dong_daily_ridership,dong_station_names,dong_parking_lot_count,dong_total_parking_capacity,pop_density,store_density_km2,stores_per_1000_pop,parking_capacity_per_store,parking_capacity_per_1000_pop
2714054100,대구광역시 동구 신암5동,27140,동구,0.5467,7315,3463,3852,786,627,992,891,1136,2883,89.9,0.2213,0.2771,0.3941,314,366.8,0.9108,114.5,165.0,1.672,0.243,음식,한식,21,12,3,7,97,44,1,17,4,108,0,0.0,없음,9,300,13380.3,574.4,42.93,0.96,41.01
2714055500,대구광역시 동구 신천1·2동,27140,동구,0.4677,10994,5084,5910,891,1006,1195,1229,1830,4843,86.02,0.2002,0.2782,0.4405,384,304.5,0.8438,105.0,149.9,1.8643,0.1907,음식,한식,42,25,7,13,94,63,1,14,14,111,1,9575.6,신천,10,301,23506.5,821.0,34.93,0.78,27.38
2714057000,대구광역시 동구 신천3동,27140,동구,0.7179,14835,7313,7522,2362,1552,2494,2229,2476,3722,97.22,0.2727,0.3172,0.2509,770,542.0,0.4195,62.7,1228.0,1.9695,0.1667,음식,한식,186,55,12,48,107,96,6,44,28,188,0,0.0,없음,48,1998,20664.4,1072.6,51.9,2.59,134.68
2714058000,대구광역시 동구 신천4동,27140,동구,0.7957,12937,6320,6617,1635,1760,2727,1807,1893,3115,95.51,0.3468,0.286,0.2408,1759,655.2,0.3627,59.6,2660.8,1.7119,0.238,음식,섬유·의복·신발 소매,241,38,9,37,552,119,77,53,45,588,0,0.0,없음,85,6933,16258.6,2210.6,135.97,3.94,535.9
2714059000,대구광역시 동구 효목1동,27140,동구,1.4646,11472,5678,5794,747,1058,1030,1169,1923,5545,98.0,0.182,0.2695,0.4834,779,849.0,0.1592,155.5,179.1,1.7622,0.2296,음식,한식,74,14,3,24,178,99,25,39,25,298,0,0.0,없음,32,901,7832.9,531.9,67.9,1.16,78.54
2714060000,대구광역시 동구 효목2동,27140,동구,0.761,14147,6684,7463,1605,1427,1886,1806,2265,5158,89.56,0.2342,0.2878,0.3646,647,915.3,0.085,72.6,459.9,1.8141,0.2114,음식,한식,59,25,8,11,157,88,7,33,37,222,0,0.0,없음,26,897,18590.0,850.2,45.73,1.39,63.41
2714061500,대구광역시 동구 도평동,27140,동구,19.9271,3371,1834,1537,204,476,303,287,525,1576,119.32,0.2311,0.2409,0.4675,72,2629.1,0.0,650.8,4.2,1.635,0.2477,소매,한식,6,2,0,0,25,8,1,4,3,23,0,0.0,없음,3,41,169.2,3.6,21.36,0.57,12.16
2714062000,대구광역시 동구 불로·봉무동,27140,동구,7.6608,19381,9521,9860,3386,1763,1940,3102,3393,5797,96.56,0.1911,0.3351,0.2991,1256,2945.5,0.0008,72.5,1075.7,1.7038,0.2391,소매,한식,73,79,9,35,417,133,2,32,67,409,0,0.0,없음,57,4178,2529.9,164.0,64.81,3.33,215.57
2714064000,대구광역시 동구 지저동,27140,동구,2.2358,12323,6072,6251,940,1074,1210,1247,2059,5793,97.14,0.1853,0.2683,0.4701,380,469.2,0.5684,132.7,412.7,1.6623,0.2462,음식,한식,11,7,2,8,108,64,4,17,22,137,1,9062.4,아양교,12,2021,5511.7,170.0,30.84,5.32,164.0
2714065500,대구광역시 동구 동촌동,27140,동구,4.4612,13815,6950,6865,1185,1330,1553,1596,2299,5852,101.24,0.2087,0.2819,0.4236,554,510.3,0.4116,99.5,352.6,1.7752,0.2184,음식,한식,45,12,2,15,120,104,12,20,29,195,1,4475.3,동촌,31,1690,3096.7,124.2,40.1,3.05,122.33
2714067000,대구광역시 동구 방촌동,27140,동구,1.2248,16714,8056,8658,1467,1516,1580,1715,2864,7572,93.05,0.1852,0.274,0.453,592,972.5,0.0,84.2,212.6,1.7373,0.224,음식,한식,29,25,6,11,146,116,2,20,36,201,0,0.0,없음,22,638,13646.3,483.3,35.42,1.08,38.17
2714068500,대구광역시 동구 해안동,27140,동구,13.264,12925,6419,6506,1064,1173,1311,1364,2149,5864,98.66,0.1922,0.2718,0.4537,475,755.4,0.0589,157.2,160.5,1.8161,0.2022,음식,한식,38,15,6,8,120,90,3,29,25,141,2,11140.2,"방촌, 해안",23,480,974.4,35.8,36.75,1.01,37.14
2714076000,대구광역시 동구 공산동,27140,동구,83.2696,19708,9533,10175,2226,1369,2044,2443,3434,8192,93.69,0.1732,0.2982,0.4157,754,7174.6,0.0,263.0,61.0,1.6036,0.3042,음식,한식,28,29,4,26,151,68,32,17,23,376,0,0.0,없음,67,1875,236.7,9.1,38.26,2.49,95.14
2714072000,대구광역시 동구 안심1동,27140,동구,3.4892,37158,17974,19184,5235,3647,3918,5308,6050,13000,93.69,0.2036,0.3057,0.3499,1776,428.2,0.5923,86.6,451.6,1.7618,0.2211,음식,한식,98,94,25,60,467,305,5,49,77,596,2,15850.8,"신기, 율하",56,2910,10649.4,509.0,47.8,1.64,78.31
2714073000,대구광역시 동구 안심2동,27140,동구,13.3309,17002,8483,8519,2238,1665,2729,2223,3018,5129,99.58,0.2584,0.3083,0.3017,394,844.7,0.3046,127.6,159.2,1.8547,0.2007,소매,한식,30,9,4,15,125,66,11,24,15,95,1,3810.8,용계,43,1493,1275.4,29.6,23.17,3.79,87.81
2714074700,대구광역시 동구 안심4동,27140,동구,2.572,26289,12831,13458,3959,2949,3004,3863,4842,7672,95.34,0.2264,0.3311,0.2918,985,390.0,0.7503,69.9,438.1,1.8606,0.1903,음식,한식,67,56,10,45,223,230,3,41,49,261,2,13918.2,"각산, 반야월",66,2726,10221.2,383.0,37.47,2.77,103.69
2717051000,대구광역시 서구 내당1동,27170,서구,0.5707,14683,7208,7475,2048,1558,2359,2055,2416,4247,96.43,0.2668,0.3045,0.2892,461,613.4,0.3362,82.4,826.7,1.842,0.2107,음식,한식,30,19,7,31,85,80,6,15,20,168,0,0.0,없음,27,1153,25728.1,807.8,31.4,2.5,78.53
2717052500,대구광역시 서구 내당2·3동,27170,서구,0.4967,8091,3898,4193,478,694,726,798,1501,3894,92.96,0.1755,0.2841,0.4813,443,456.6,0.6524,98.7,339.8,1.6893,0.2421,소매,한식,27,6,5,17,152,66,4,16,14,136,0,0.0,없음,13,287,16289.5,891.9,54.75,0.65,35.47
2717054000,대구광역시 서구 내당4동,27170,서구,0.8127,14119,6689,7430,1106,1505,1604,1559,2416,5929,90.03,0.2202,0.2815,0.4199,812,644.9,0.2352,93.1,493.5,1.7588,0.2218,음식,한식,51,28,8,25,230,140,6,33,31,260,0,0.0,없음,30,1151,17373.0,999.1,57.51,1.42,81.52
2717055000,대구광역시 서구 비산1동,27170,서구,0.4334,7738,3881,3857,518,613,635,771,1482,3719,100.62,0.1613,0.2912,0.4806,213,505.0,0.5352,128.0,115.3,1.5363,0.2698,소매,한식,13,2,1,1,82,37,2,11,2,62,0,0.0,없음,4,94,17854.2,491.5,27.53,0.44,12.15
2717056500,대구광역시 서구 비산2·3동,27170,서구,0.555,7550,3680,3870,407,517,577,660,1292,4097,95.09,0.1449,0.2585,0.5426,523,678.0,0.3078,90.0,196.2,1.5586,0.2808,음식,한식,24,6,6,11,146,76,2,12,20,220,0,0.0,없음,13,276,13603.6,942.3,69.27,0.53,36.56
2717058000,대구광역시 서구 비산4동,27170,서구,0.434,8143,3928,4215,553,668,751,855,1472,3844,93.19,0.1743,0.2858,0.4721,311,872.3,0.0579,81.6,200.0,1.7548,0.2141,음식,한식,30,8,0,7,85,48,2,14,19,98,0,0.0,없음,12,256,18762.7,716.6,38.19,0.82,31.44
2717059000,대구광역시 서구 비산5동,27170,서구,0.3445,4744,2395,2349,261,317,360,458,806,2542,101.96,0.1427,0.2664,0.5358,337,201.9,1.0,110.7,204.0,1.6091,0.2893,음식,한식,9,8,4,9,73,44,9,7,16,158,2,7774.7,"원대, 팔달시장",4,128,13770.7,978.2,71.04,0.38,26.98
2717060000,대구광역시 서구 비산6동,27170,서구,0.2715,6319,3068,3251,361,525,528,596,1226,3083,94.37,0.1666,0.2883,0.4879,225,935.7,0.0,79.1,166.1,1.6884,0.2296,소매,이용·미용,11,1,0,14,70,42,4,6,10,67,0,0.0,없음,7,200,23274.4,828.7,35.61,0.89,31.65
2717061000,대구광역시 서구 비산7동,27170,서구,2.584,9260,4868,4392,749,829,1014,955,1753,3960,110.84,0.199,0.2924,0.4276,815,513.8,0.4699,145.0,189.6,1.6054,0.2613,음식,한식,34,3,1,14,220,135,27,29,31,321,1,2543.2,만평,25,1162,3583.6,315.4,88.01,1.43,125.49
2717062000,대구광역시 서구 평리1동,27170,서구,0.3656,6126,3059,3067,413,508,521,620,1087,2977,99.74,0.168,0.2786,0.486,295,1031.4,0.0,143.7,102.6,1.7586,0.212,소매,이용·미용,21,9,0,8,91,63,2,13,16,72,0,0.0,없음,4,68,16756.0,806.9,48.16,0.23,11.1
2717063000,대구광역시 서구 평리2동,27170,서구,0.2781,6820,3284,3536,824,536,627,907,1211,2715,92.87,0.1705,0.3106,0.3981,206,1200.3,0.0,132.2,152.3,1.7598,0.2156,음식,한식,11,10,7,3,53,39,0,13,4,66,0,0.0,없음,6,115,24523.6,740.7,30.21,0.56,16.86
2717064000,대구광역시 서구 평리3동,27170,서구,0.7793,12090,5994,6096,1506,920,1640,1675,1904,4445,98.33,0.2117,0.296,0.3677,647,1448.3,0.0,98.1,230.2,1.772,0.2255,음식,한식,49,18,9,28,153,94,4,23,30,239,0,0.0,없음,17,808,15513.9,830.2,53.52,1.25,66.83
2717065000,대구광역시 서구 평리4동,27170,서구,0.7453,15025,7483,7542,1567,1343,1621,1906,2620,5968,99.22,0.1973,0.3012,0.3972,950,1310.9,0.0,128.1,308.6,1.72,0.2512,음식,한식,39,25,13,18,200,143,36,30,47,399,0,0.0,없음,29,553,20159.7,1274.7,63.23,0.58,36.81
2717066000,대구광역시 서구 평리5동,27170,서구,0.4071,10531,5258,5273,2276,761,2604,1719,1211,1960,99.72,0.3195,0.2782,0.1861,186,1832.0,0.0,74.6,214.6,1.864,0.2045,음식,한식,10,6,5,14,39,29,2,8,8,65,0,0.0,없음,9,224,25868.3,456.9,17.66,1.2,21.27
2717066100,대구광역시 서구 평리6동,27170,서구,0.7464,5391,2792,2599,628,439,978,643,893,1810,107.43,0.2628,0.2849,0.3357,174,1588.9,0.0,115.5,129.4,1.7879,0.199,소매,부동산 서비스,11,4,2,17,52,30,0,15,1,42,0,0.0,없음,10,317,7222.7,233.1,32.28,1.82,58.8
2717067500,대구광역시 서구 상중이동,27170,서구,6.7768,16863,8338,8525,1901,1546,1614,2068,3005,6729,97.81,0.1874,0.3008,0.399,1196,1380.9,0.0125,121.8,191.9,1.8364,0.1905,소매,한식,132,39,5,32,345,225,4,106,44,264,0,0.0,없음,73,3259,2488.3,176.5,70.92,2.72,193.26
2717069500,대구광역시 서구 원대동,27170,서구,0.6219,9963,4973,4990,948,866,1492,1197,1725,3735,99.66,0.2367,0.2933,0.3749,424,291.4,0.9009,81.4,230.3,1.6358,0.2562,음식,한식,29,11,2,12,129,58,3,14,9,157,1,7453.5,북구청,18,475,16020.3,681.8,42.56,1.12,47.68
2720051500,대구광역시 남구 이천동,27200,남구,1.0429,14245,6690,7555,1952,1189,2032,2029,2397,4646,88.55,0.2261,0.3107,0.3261,492,549.3,0.628,108.6,288.2,1.8983,0.1785,소매,이용·미용,59,44,2,18,127,85,6,18,17,116,0,0.0,없음,12,350,13659.0,471.8,34.54,0.71,24.57
2720053000,대구광역시 남구 봉덕1동,27200,남구,0.4881,7680,3696,3984,492,803,851,859,1396,3279,92.77,0.2154,0.2936,0.427,651,815.4,0.192,119.4,195.9,1.7448,0.2254,음식,한식,67,18,5,17,194,83,5,29,22,211,0,0.0,없음,12,448,15734.5,1333.7,84.77,0.69,58.33
2720054000,대구광역시 남구 봉덕2동,27200,남구,3.0276,12852,6067,6785,1983,890,1640,1851,2016,4472,89.42,0.1969,0.3009,0.348,470,1539.8,0.0,174.0,59.5,1.8229,0.2066,음식,한식,46,21,6,27,113,66,2,13,19,157,0,0.0,없음,4,66,4244.9,155.2,36.57,0.14,5.14
2720055000,대구광역시 남구 봉덕3동,27200,남구,3.0696,14003,6604,7399,1456,1353,1339,1724,2437,5694,89.26,0.1922,0.2972,0.4066,858,904.0,0.1096,117.1,221.5,1.8839,0.1868,음식,한식,98,48,6,33,193,146,10,45,28,251,0,0.0,없음,23,902,4561.8,279.5,61.27,1.05,64.41
2720056000,대구광역시 남구 대명1동,27200,남구,0.4605,9242,4495,4747,811,1124,1022,1081,1550,3654,94.69,0.2322,0.2847,0.3954,340,313.8,0.8971,101.0,202.5,1.8727,0.1893,음식,한식,48,10,3,20,63,63,5,14,10,104,1,7928.3,대명,10,142,20069.5,738.3,36.79,0.42,15.36
