adm_cd2,indsLclsCd,indsLclsNm,store_count,avg_nearest_subway_dist_m,ratio_subway_zone,avg_parking_capacity_300m,avg_competitor_lcls_300m,avg_competitor_mcls_300m,adm_nm,signgu_cd,signgu_nm,area_km2,pop_total,pop_density,sex_ratio,ratio_2030,ratio_4050,ratio_60plus,total_stores,dong_station_count,dong_daily_ridership,dong_parking_lot_count,dong_total_parking_capacity,store_share_in_dong,store_share_in_city,location_quotient,store_density_km2,stores_per_1000_pop
2711056500,L1,부동산,53,316.4,0.9057,2346.2,20.5,20.5,대구광역시 중구 성내1동,27110,중구,0.759,5527,7281.9,91.71,0.5012,0.2151,0.2171,3406,1,30098.1,64,4750,0.0156,0.0127,0.442,69.83,9.59
2711056500,M1,과학·기술,242,341.9,0.8554,1907.2,76.1,15.7,대구광역시 중구 성내1동,27110,중구,0.759,5527,7281.9,91.71,0.5012,0.2151,0.2171,3406,1,30098.1,64,4750,0.0711,0.0238,0.827,318.84,43.79
2711056500,N1,시설관리·임대,120,363.9,0.775,2220.3,45.1,21.1,대구광역시 중구 성내1동,27110,중구,0.759,5527,7281.9,91.71,0.5012,0.2151,0.2171,3406,1,30098.1,64,4750,0.0352,0.0276,0.959,158.1,21.71
2711056500,P1,교육,156,295.1,0.9359,2491.6,52.5,30.2,대구광역시 중구 성내1동,27110,중구,0.759,5527,7281.9,91.71,0.5012,0.2151,0.2171,3406,1,30098.1,64,4750,0.0458,0.0223,0.774,205.53,28.23
2711056500,Q1,보건의료,115,280.4,0.9565,3144.7,67.7,64.6,대구광역시 중구 성내1동,27110,중구,0.759,5527,7281.9,91.71,0.5012,0.2151,0.2171,3406,1,30098.1,64,4750,0.0338,0.0752,2.612,151.52,20.81
2711056500,R1,예술·스포츠,90,346.1,0.8778,2958.4,72.6,42.9,대구광역시 중구 성내1동,27110,중구,0.759,5527,7281.9,91.71,0.5012,0.2151,0.2171,3406,1,30098.1,64,4750,0.0264,0.0176,0.613,118.58,16.28
2711056500,S2,수리·개인,329,337.0,0.8875,2176.8,114.6,75.6,대구광역시 중구 성내1동,27110,중구,0.759,5527,7281.9,91.71,0.5012,0.2151,0.2171,3406,1,30098.1,64,4750,0.0966,0.0201,0.698,433.47,59.53
2711057500,G2,소매,1082,251.7,0.9418,3080.6,520.0,252.8,대구광역시 중구 성내2동,27110,중구,0.9226,9263,10040.1,91.34,0.3966,0.2698,0.2019,2628,0,0.0,67,6799,0.4117,0.0355,1.597,1172.77,116.81
2711057500,I1,숙박,67,318.8,0.8507,2200.3,25.9,20.3,대구광역시 중구 성내2동,27110,중구,0.9226,9263,10040.1,91.34,0.3966,0.2698,0.2019,2628,0,0.0,67,6799,0.0255,0.0577,2.599,72.62,7.23
2711057500,I2,음식,785,302.6,0.9338,2781.8,356.3,90.2,대구광역시 중구 성내2동,27110,중구,0.9226,9263,10040.1,91.34,0.3966,0.2698,0.2019,2628,0,0.0,67,6799,0.2987,0.0207,0.931,850.86,84.75
2711057500,L1,부동산,40,313.5,0.9,1924.1,14.5,14.5,대구광역시 중구 성내2동,27110,중구,0.9226,9263,10040.1,91.34,0.3966,0.2698,0.2019,2628,0,0.0,67,6799,0.0152,0.0096,0.432,43.36,4.32
2711057500,M1,과학·기술,232,335.0,0.9353,2014.2,92.6,20.0,대구광역시 중구 성내2동,27110,중구,0.9226,9263,10040.1,91.34,0.3966,0.2698,0.2019,2628,0,0.0,67,6799,0.0883,0.0228,1.027,251.46,25.05
2711057500,N1,시설관리·임대,108,310.9,0.9537,2085.3,48.4,10.4,대구광역시 중구 성내2동,27110,중구,0.9226,9263,10040.1,91.34,0.3966,0.2698,0.2019,2628,0,0.0,67,6799,0.0411,0.0248,1.118,117.06,11.66
2711057500,P1,교육,81,319.1,0.9383,2566.7,45.9,24.7,대구광역시 중구 성내2동,27110,중구,0.9226,9263,10040.1,91.34,0.3966,0.2698,0.2019,2628,0,0.0,67,6799,0.0308,0.0116,0.521,87.8,8.74
2711057500,Q1,보건의료,38,260.0,0.8947,2065.3,24.7,21.8,대구광역시 중구 성내2동,27110,중구,0.9226,9263,10040.1,91.34,0.3966,0.2698,0.2019,2628,0,0.0,67,6799,0.0145,0.0248,1.119,41.19,4.1
2711057500,R1,예술·스포츠,35,297.0,0.9143,2463.0,20.4,7.9,대구광역시 중구 성내2동,27110,중구,0.9226,9263,10040.1,91.34,0.3966,0.2698,0.2019,2628,0,0.0,67,6799,0.0133,0.0069,0.309,37.94,3.78
2711057500,S2,수리·개인,160,268.8,0.9062,2651.8,76.1,41.9,대구광역시 중구 성내2동,27110,중구,0.9226,9263,10040.1,91.34,0.3966,0.2698,0.2019,2628,0,0.0,67,6799,0.0609,0.0098,0.44,173.42,17.27
2711058500,G2,소매,126,314.3,0.9206,216.0,104.3,28.0,대구광역시 중구 성내3동,27110,중구,0.7455,13643,18300.5,98.82,0.3315,0.2835,0.1496,444,1,5778.9,12,259,0.2838,0.0041,1.101,169.01,9.24
2711058500,I1,숙박,10,287.6,0.9,204.2,8.7,8.6,대구광역시 중구 성내3동,27110,중구,0.7455,13643,18300.5,98.82,0.3315,0.2835,0.1496,444,1,5778.9,12,259,0.0225,0.0086,2.296,13.41,0.73
2711058500,I2,음식,108,313.8,0.9352,196.0,53.9,19.1,대구광역시 중구 성내3동,27110,중구,0.7455,13643,18300.5,98.82,0.3315,0.2835,0.1496,444,1,5778.9,12,259,0.2432,0.0028,0.758,144.87,7.92
2711058500,L1,부동산,35,332.9,0.9714,258.5,13.0,13.0,대구광역시 중구 성내3동,27110,중구,0.7455,13643,18300.5,98.82,0.3315,0.2835,0.1496,444,1,5778.9,12,259,0.0788,0.0084,2.24,46.95,2.57
2711058500,M1,과학·기술,37,400.6,0.8108,546.5,44.3,7.5,대구광역시 중구 성내3동,27110,중구,0.7455,13643,18300.5,98.82,0.3315,0.2835,0.1496,444,1,5778.9,12,259,0.0833,0.0036,0.97,49.63,2.71
