rank,adm_nm,signgu_nm,adm_cd2,total_score,demand_score,target_fit_score,competition_score,accessibility_score,parking_score,industry_fit_score,cat_store_count,pop_total,target_pop,target_ratio,location_quotient,dong_daily_ridership,cat_avg_subway_dist,cat_avg_comp_300m,dong_total_parking_capacity,parking_capacity_per_store,signgu_cd,area_km2,pop_density,total_stores,store_density_km2,avg_dist_to_subway_m,ratio_stores_in_subway_zone,dong_station_count,dong_parking_lot_count,avg_parking_capacity_300m,category_entropy,cat_ratio_subway,cat_avg_parking_300m,store_share_in_dong,pop_per_store,target_pop_per_store,query_industry,query_target_age,industry_label,target_demographic_label,category_type
70,대구광역시 중구 남산2동,중구,2711065000,50.68,55.0,37.25,29.53,95.84,73.16,6.04,47,7394,7394,1.0,0.579,82629.0,293.7,63.0,863,1.46,27110,0.3916,18881.5,593,1514.3,289.0,1.0,4,11,1474.2,1.9141,1.0,2122.8,0.0793,154.0,154.0,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
71,대구광역시 북구 대현동,북구,2723064500,50.42,58.89,54.43,45.64,40.54,35.0,54.36,118,15618,15618,1.0,1.076,0.0,816.3,38.2,786,0.98,27230,0.855,18266.7,801,936.8,879.3,0.1423,0,23,239.0,1.7877,0.2203,252.5,0.1473,131.2,131.2,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
72,대구광역시 수성구 범물1동,수성구,2726066100,50.32,34.66,42.35,67.28,74.8,56.11,45.3,51,9654,9654,1.0,1.007,11108.8,516.0,32.0,781,2.11,27260,5.8003,1664.4,370,63.8,338.1,0.9676,2,13,815.3,1.6642,0.902,394.8,0.1378,185.7,185.7,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
73,대구광역시 남구 대명1동,남구,2720056000,50.13,49.7,41.01,41.95,85.27,18.99,60.4,51,9242,9242,1.0,1.096,7928.3,346.5,54.2,142,0.42,27200,0.4605,20069.5,340,738.3,313.8,0.8971,1,10,202.5,1.8727,0.902,213.6,0.15,177.7,177.7,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
74,대구광역시 동구 불로·봉무동,동구,2714062000,50.09,54.77,59.8,21.14,17.45,87.96,71.14,200,19381,19381,1.0,1.163,0.0,2832.6,53.4,4178,3.33,27140,7.6608,2529.9,1256,164.0,2945.5,0.0008,0,57,1075.7,1.7038,0.0,855.2,0.1592,96.4,96.4,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
75,대구광역시 수성구 황금1동,수성구,2726060100,49.95,49.06,61.68,96.31,40.94,21.1,2.01,23,20820,20820,1.0,0.421,0.0,778.9,8.5,480,1.2,27260,2.5751,8085.1,399,154.9,851.9,0.0702,0,13,72.8,1.9203,0.1739,39.6,0.0576,867.5,867.5,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
76,대구광역시 중구 대봉1동,중구,2711068000,49.89,57.38,38.05,16.1,97.32,66.48,14.09,101,7666,7666,1.0,0.66,19088.4,226.0,54.3,1613,1.44,27110,0.5627,13623.6,1117,1985.1,194.3,1.0,2,23,833.7,1.8237,1.0,588.2,0.0904,75.2,75.2,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
77,대구광역시 동구 공산동,동구,2714076000,49.78,45.17,60.34,54.03,15.1,39.26,98.66,222,19708,19708,1.0,2.151,0.0,7697.6,9.7,1875,2.49,27140,83.2696,236.7,754,9.1,7174.6,0.0,0,67,61.0,1.6036,0.0,54.0,0.2944,88.4,88.4,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
78,대구광역시 남구 대명10동,남구,2720065000,49.71,50.97,38.86,19.46,82.88,43.83,69.13,102,7805,7805,1.0,1.146,15387.0,394.8,50.0,444,0.68,27200,0.5166,15108.4,650,1258.2,375.5,0.8677,1,12,574.8,1.8044,0.8627,469.4,0.1569,75.8,75.8,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
79,대구광역시 달성군 구지면,달성군,2771038000,49.43,43.89,59.53,54.03,13.42,47.05,95.3,157,18847,18847,1.0,1.655,0.0,17278.8,28.8,2321,3.35,27710,39.6367,475.5,693,17.5,17209.4,0.0,0,59,87.9,1.65,0.0,76.4,0.2266,119.3,119.3,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
80,대구광역시 남구 대명4동,남구,2720059000,49.2,46.07,40.74,36.24,57.45,73.08,58.72,95,9003,9003,1.0,1.093,7282.1,574.6,39.4,1742,2.74,27200,0.76,11846.1,635,835.5,536.5,0.3512,1,20,496.8,1.7378,0.2526,538.2,0.1496,93.8,93.8,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
81,대구광역시 동구 방촌동,동구,2714067000,48.89,51.51,55.77,45.8,29.19,31.11,79.19,103,16714,16714,1.0,1.271,0.0,943.5,44.0,638,1.08,27140,1.2248,13646.3,592,483.3,972.5,0.0,0,22,212.6,1.7373,0.0,218.4,0.174,160.7,160.7,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
82,대구광역시 동구 신암2동,동구,2714052000,48.87,47.31,45.03,50.34,46.91,45.4,65.44,52,11446,11446,1.0,1.117,0.0,656.5,50.2,357,1.05,27140,0.3625,31575.2,340,937.9,610.1,0.3059,0,13,392.6,1.7582,0.2692,447.5,0.1529,216.0,216.0,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
83,대구광역시 남구 이천동,남구,2720051500,48.8,45.7,50.94,85.57,52.48,31.88,10.07,41,14245,14245,1.0,0.609,0.0,614.4,28.0,350,0.71,27200,1.0429,13659.0,492,471.8,549.3,0.628,0,12,288.2,1.8983,0.561,287.3,0.0833,339.2,339.2,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
84,대구광역시 수성구 중동,수성구,2726061000,48.37,53.09,51.48,60.74,33.82,50.74,28.86,96,14422,14422,1.0,0.868,0.0,1048.5,29.1,1100,1.36,27260,0.948,15213.1,808,852.3,1056.8,0.0334,0,38,386.9,1.9604,0.0312,352.3,0.1188,148.7,148.7,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
85,대구광역시 동구 효목2동,동구,2714060000,47.88,53.26,50.67,21.14,33.29,51.51,84.56,117,14147,14147,1.0,1.321,0.0,1001.3,62.6,897,1.39,27140,0.761,18590.0,647,850.2,915.3,0.085,0,26,459.9,1.8141,0.0085,388.3,0.1808,119.9,119.9,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
86,대구광역시 달서구 본동,달서구,2729065000,47.73,42.75,48.26,52.52,22.48,66.21,73.83,84,13148,13148,1.0,1.196,0.0,1486.1,38.1,1481,2.89,27290,1.0557,12454.3,513,485.9,1394.5,0.0,0,31,371.6,1.8481,0.0,401.1,0.1637,154.7,154.7,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
87,대구광역시 수성구 수성4가동,수성구,2726059000,47.7,52.15,46.64,37.58,62.62,42.75,34.23,85,12798,12798,1.0,0.916,0.0,449.0,48.8,423,0.62,27260,0.6138,20850.4,678,1104.6,395.7,0.7478,0,14,458.2,1.9008,0.5765,466.3,0.1254,148.8,148.8,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
88,대구광역시 서구 상중이동,서구,2717067500,47.59,51.27,56.31,49.5,29.73,51.34,39.26,160,16863,16863,1.0,0.977,0.0,1295.5,30.4,3259,2.72,27170,6.7768,2488.3,1196,176.5,1380.9,0.0125,0,73,191.9,1.8364,0.0062,156.6,0.1338,104.7,104.7,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
89,대구광역시 서구 평리4동,서구,2717065000,47.5,61.71,53.09,13.09,24.16,33.86,93.96,197,15025,15025,1.0,1.515,0.0,1300.5,62.3,553,0.58,27170,0.7453,20159.7,950,1274.7,1310.9,0.0,0,29,308.6,1.72,0.0,317.7,0.2074,75.9,75.9,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
90,대구광역시 중구 성내2동,중구,2711057500,47.46,47.95,41.54,0.34,79.06,91.71,36.91,339,9263,9263,1.0,0.942,0.0,297.4,150.5,6799,2.59,27110,0.9226,10040.1,2628,2848.5,283.2,0.933,0,67,2751.4,1.6254,0.9322,2652.8,0.129,27.2,27.2,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
91,대구광역시 수성구 황금2동,수성구,2726060200,46.89,53.02,45.57,28.52,63.16,54.36,26.85,121,11770,11770,1.0,0.858,2213.9,529.4,45.1,1605,1.56,27260,1.1892,9897.4,1030,866.1,557.5,0.4214,1,58,395.5,1.9253,0.5372,331.7,0.1175,96.5,96.5,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
92,대구광역시 서구 내당4동,서구,2717054000,46.8,54.77,50.4,29.2,45.1,56.58,34.9,102,14119,14119,1.0,0.918,0.0,681.3,56.4,1151,1.42,27170,0.8127,17373.0,812,999.1,644.9,0.2352,0,30,493.5,1.7588,0.2255,430.4,0.1256,137.1,137.1,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
93,대구광역시 중구 대신동,중구,2711059500,46.52,58.89,36.44,11.74,92.28,59.6,0.0,98,7249,7249,1.0,0.267,13433.4,281.5,60.8,1301,0.48,27110,0.4899,14796.9,2688,5486.8,169.9,0.9699,1,11,1548.5,0.6257,0.9184,1078.1,0.0365,73.2,73.2,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
94,대구광역시 중구 남산3동,중구,2711066000,46.45,35.81,34.03,64.26,89.33,45.24,13.42,28,5779,5779,1.0,0.654,5728.2,295.1,38.1,404,1.29,27110,0.4076,14178.1,313,767.9,254.0,0.9968,1,10,293.4,1.8445,1.0,366.4,0.0895,199.3,199.3,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
95,대구광역시 동구 신천4동,동구,2714058000,46.41,58.32,47.45,4.03,45.64,97.25,22.48,202,12937,12937,1.0,0.839,0.0,695.8,83.7,6933,3.94,27140,0.7957,16258.6,1759,2210.6,655.2,0.3627,0,85,2660.8,1.7119,0.2772,2579.0,0.1148,63.7,63.7,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
96,대구광역시 서구 평리5동,서구,2717066000,46.2,43.12,43.42,78.19,19.13,31.98,67.79,29,10531,10531,1.0,1.139,0.0,1818.5,35.2,224,1.2,27170,0.4071,25868.3,186,456.9,1832.0,0.0,0,9,214.6,1.864,0.0,243.2,0.1559,351.0,351.0,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
97,대구광역시 중구 남산1동,중구,2711064000,46.2,42.95,32.95,29.53,90.74,80.17,6.71,55,5062,5062,1.0,0.591,12121.7,316.5,43.3,1968,2.89,27110,0.4193,12072.5,680,1621.8,253.0,1.0,2,25,713.6,2.0125,1.0,712.1,0.0809,90.4,90.4,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
98,대구광역시 동구 신암3동,동구,2714053000,46.1,43.69,44.76,55.04,38.79,60.4,39.26,53,11150,11150,1.0,0.977,0.0,787.5,45.5,616,1.56,27140,0.6012,18546.2,396,658.7,734.3,0.0581,0,13,452.5,1.8895,0.0189,557.1,0.1338,206.5,206.5,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
99,대구광역시 동구 해안동,동구,2714068500,45.67,40.2,47.18,53.36,49.53,25.7,61.74,72,12925,12925,1.0,1.108,11140.2,769.9,42.7,480,1.01,27140,13.264,974.4,475,35.8,755.4,0.0589,2,23,160.5,1.8161,0.0139,169.6,0.1516,177.1,177.1,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
100,대구광역시 남구 대명6동,남구,2720061000,45.62,33.83,43.16,81.2,62.68,47.92,4.7,43,10276,10276,1.0,0.561,0.0,449.4,22.3,857,1.53,27200,1.5709,6541.5,560,356.5,385.9,0.675,0,13,329.3,1.9196,0.5814,293.0,0.0768,233.5,233.5,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
101,대구광역시 북구 노원동,북구,2723079000,45.42,41.04,43.96,29.2,43.15,38.66,95.97,261,10954,10954,1.0,1.727,0.0,734.1,38.0,1224,1.11,27230,3.0536,3587.2,1104,361.5,693.4,0.3207,0,44,266.5,1.7025,0.2069,246.6,0.2364,41.8,41.8,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
102,대구광역시 동구 효목1동,동구,2714059000,45.41,40.84,45.3,33.89,38.32,42.75,89.93,148,11472,11472,1.0,1.388,0.0,875.3,39.8,901,1.16,27140,1.4646,7832.9,779,531.9,849.0,0.1592,0,32,179.1,1.7622,0.1081,292.3,0.19,77.0,77.0,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
103,대구광역시 중구 성내1동,중구,2711056500,45.22,52.62,33.76,0.34,87.52,82.92,12.08,299,5527,5527,1.0,0.641,30098.1,350.7,142.3,4750,1.39,27110,0.759,7281.9,3406,4487.5,324.3,0.8908,1,64,2242.4,1.7374,0.8495,2319.1,0.0878,18.4,18.4,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
104,대구광역시 북구 관음동,북구,2723075000,45.13,37.78,49.06,56.2,23.15,63.12,57.72,87,13689,13689,1.0,1.089,0.0,1443.0,35.7,1198,2.05,27230,3.0672,4463.0,584,190.4,1468.8,0.0,0,23,374.4,1.7842,0.0,464.2,0.149,155.6,155.6,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
105,대구광역시 수성구 만촌2동,수성구,2726056000,45.08,38.96,47.72,78.18,52.42,23.76,18.79,66,13080,13080,1.0,0.788,0.0,571.6,21.5,469,0.77,27260,1.9514,6702.9,612,313.6,658.5,0.3431,0,17,172.3,1.9354,0.4545,177.5,0.1078,195.2,195.2,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
106,대구광역시 서구 비산7동,서구,2717061000,44.96,40.94,41.28,19.46,65.43,35.67,81.21,144,9260,9260,1.0,1.291,2543.2,502.3,45.8,1162,1.43,27170,2.584,3583.6,815,315.4,513.8,0.4699,1,25,189.6,1.6054,0.5278,154.0,0.1767,63.9,63.9,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
107,대구광역시 수성구 파동,수성구,2726063000,44.5,38.99,57.38,92.95,20.8,13.16,29.53,39,17133,17133,1.0,0.874,0.0,1689.9,9.2,264,0.81,27260,5.4129,3165.2,326,60.2,1661.7,0.0,0,13,28.4,1.8928,0.0,19.8,0.1196,428.3,428.3,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
108,대구광역시 서구 비산5동,서구,2717059000,44.43,36.08,32.68,15.44,94.23,16.98,89.26,64,4744,4744,1.0,1.387,7774.7,197.0,52.3,128,0.38,27170,0.3445,13770.7,337,978.2,201.9,1.0,2,4,204.0,1.6091,1.0,180.1,0.1899,73.0,73.0,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
109,대구광역시 중구 대봉2동,중구,2711069000,44.36,41.61,34.3,48.32,83.76,26.51,25.5,35,5933,5933,1.0,0.853,3410.6,365.6,43.5,179,0.6,27110,0.2744,21621.7,300,1093.3,300.2,1.0,1,8,220.2,1.8838,1.0,258.1,0.1167,164.8,164.8,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
110,대구광역시 중구 동인동,중구,2711051700,44.32,47.95,44.5,12.08,43.63,86.51,40.27,142,10997,10997,1.0,0.983,0.0,680.0,64.3,2997,2.84,27110,0.9707,11328.9,1055,1086.8,664.1,0.1223,0,30,902.8,1.8018,0.0775,1001.9,0.1346,76.9,76.9,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
111,대구광역시 달서구 월성2동,달서구,2729060200,43.86,31.98,48.52,96.98,19.8,69.13,1.34,26,13435,13435,1.0,0.417,0.0,1753.5,4.7,2943,6.47,27290,7.6185,1763.5,455,59.7,1831.7,0.0,0,41,250.2,1.7894,0.0,290.0,0.0571,497.6,497.6,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
112,대구광역시 서구 비산1동,서구,2717055000,43.6,34.9,38.59,61.41,59.3,11.95,61.07,32,7738,7738,1.0,1.097,0.0,496.8,42.7,94,0.44,27170,0.4334,17854.2,213,491.5,505.0,0.5352,0,4,115.3,1.5363,0.5,135.9,0.1502,234.5,234.5,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
113,대구광역시 서구 내당2·3동,서구,2717052500,43.54,37.48,39.4,30.54,64.16,31.88,70.27,70,8091,8091,1.0,1.154,0.0,449.6,47.2,287,0.65,27170,0.4967,16289.5,443,891.9,456.6,0.6524,0,13,339.8,1.6893,0.7143,293.9,0.158,114.0,114.0,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
114,대구광역시 달서구 장기동,달서구,2729056800,43.25,48.05,53.89,22.48,37.51,42.95,47.65,118,15347,15347,1.0,1.019,0.0,913.1,63.2,958,1.13,27290,2.76,5560.5,846,306.5,906.7,0.1548,0,34,327.3,1.8569,0.1186,290.7,0.1395,129.0,129.0,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
115,대구광역시 서구 평리3동,서구,2717064000,42.64,45.51,45.84,32.88,22.82,36.17,78.52,112,12090,12090,1.0,1.265,0.0,1466.6,43.9,808,1.25,27170,0.7793,15513.9,647,830.2,1448.3,0.0,0,17,230.2,1.772,0.0,228.8,0.1731,107.0,107.0,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
116,대구광역시 달성군 논공읍,달성군,2771025300,41.96,42.72,52.28,44.13,14.76,36.11,62.42,155,14804,14804,1.0,1.109,0.0,8283.2,32.0,1664,1.63,27710,44.0501,336.1,1021,23.2,8220.1,0.0,0,42,76.6,1.7366,0.0,84.1,0.1518,94.9,94.9,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
117,대구광역시 동구 신암5동,동구,2714054100,41.42,29.5,36.71,39.93,76.11,24.5,53.69,46,7315,7315,1.0,1.07,0.0,354.1,48.8,300,0.96,27140,0.5467,13380.3,314,574.4,366.8,0.9108,0,9,165.0,1.672,0.9348,185.8,0.1465,155.6,155.6,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
118,대구광역시 남구 봉덕3동,남구,2720055000,41.11,44.29,49.86,39.43,39.39,32.79,27.52,101,14003,14003,1.0,0.86,0.0,820.5,44.0,902,1.05,27200,3.0696,4561.8,858,279.5,904.0,0.1096,0,23,221.5,1.8839,0.1584,217.9,0.1177,137.3,137.3,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
119,대구광역시 동구 신암1동,동구,2714051000,40.97,44.16,43.69,54.36,27.52,42.88,24.16,61,10781,10781,1.0,0.847,0.0,1040.7,41.4,394,0.75,27140,0.606,17790.4,526,868.0,1051.5,0.0,0,10,436.8,1.7965,0.0,455.6,0.116,173.9,173.9,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
120,대구광역시 서구 비산4동,서구,2717058000,40.83,37.68,39.66,57.04,35.97,20.91,55.5,46,8143,8143,1.0,1.08,0.0,922.7,39.5,256,0.82,27170,0.434,18762.7,311,716.6,872.3,0.0579,0,12,200.0,1.7548,0.0217,164.9,0.1479,173.3,173.3,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
121,대구광역시 중구 삼덕동,중구,2711054500,40.53,44.83,37.52,2.01,57.25,86.44,20.47,174,7460,7460,1.0,0.833,0.0,507.1,105.0,3487,2.29,27110,0.644,11583.9,1526,2369.6,480.0,0.5839,0,70,1719.3,1.8185,0.4655,1859.0,0.114,42.6,42.6,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
122,대구광역시 북구 산격2동,북구,2723062000,40.12,40.84,41.81,37.92,17.11,97.78,14.77,125,9376,9376,1.0,0.723,0.0,2845.6,34.3,10440,8.27,27230,2.3539,3983.2,1263,536.6,2945.4,0.0,0,84,2052.4,1.5111,0.0,1744.6,0.099,74.4,74.4,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
123,대구광역시 수성구 상동,수성구,2726062000,39.69,50.27,49.6,45.64,26.51,20.57,18.12,104,13938,13938,1.0,0.771,0.0,1171.9,39.2,678,0.69,27260,1.3277,10497.9,986,742.6,1288.9,0.0,0,28,118.7,1.9138,0.0,139.4,0.1055,132.7,132.7,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
124,대구광역시 남구 봉덕2동,남구,2720054000,39.5,33.69,46.91,57.72,21.48,6.84,74.5,78,12852,12852,1.0,1.213,0.0,1595.4,36.3,66,0.14,27200,3.0276,4244.9,470,155.2,1539.8,0.0,0,4,59.5,1.8229,0.0,46.7,0.166,162.7,162.7,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
125,대구광역시 북구 산격3동,북구,2723063000,39.29,37.48,39.93,5.04,18.46,92.22,73.15,154,8390,8390,1.0,1.188,0.0,2122.5,65.8,3619,3.82,27230,1.272,6595.9,947,744.5,2105.0,0.0,0,19,1139.1,1.6083,0.0,1187.5,0.1626,54.1,54.1,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
126,대구광역시 남구 대명9동,남구,2720064000,38.82,40.1,47.99,37.58,32.21,25.91,41.28,106,13110,13110,1.0,0.986,0.0,810.1,42.8,762,0.97,27200,3.1401,4175.0,785,250.0,817.3,0.0038,0,28,184.2,1.8211,0.0,154.9,0.135,122.5,122.5,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
127,대구광역시 남구 봉덕1동,남구,2720053000,38.68,39.57,38.32,20.47,42.95,24.47,71.81,104,7680,7680,1.0,1.167,0.0,769.7,47.3,448,0.69,27200,0.4881,15734.5,651,1333.7,815.4,0.192,0,12,195.9,1.7448,0.2404,202.7,0.1598,73.1,73.1,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
128,대구광역시 서구 평리2동,서구,2717063000,37.64,35.97,35.37,65.94,25.5,16.98,43.62,28,6820,6820,1.0,0.993,0.0,1203.7,40.0,115,0.56,27170,0.2781,24523.6,206,740.7,1200.3,0.0,0,6,152.3,1.7598,0.0,173.0,0.1359,235.2,235.2,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
129,대구광역시 서구 비산2·3동,서구,2717056500,37.12,34.5,37.78,9.73,43.02,18.39,94.63,109,7550,7550,1.0,1.522,0.0,742.6,61.5,276,0.53,27170,0.555,13603.6,523,942.3,678.0,0.3078,0,13,196.2,1.5586,0.211,177.4,0.2084,68.6,68.6,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
130,대구광역시 달서구 상인3동,달서구,2729062600,36.92,25.64,42.08,56.38,24.83,45.03,41.28,49,9445,9445,1.0,0.986,0.0,1291.9,41.9,464,1.28,27290,3.3085,2854.8,363,109.7,1319.7,0.0,0,13,327.8,1.7064,0.0,356.4,0.135,188.9,188.9,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
131,대구광역시 달성군 가창면,달성군,2771031000,36.79,15.84,35.1,52.35,15.43,50.54,97.99,104,6719,6719,1.0,1.958,0.0,6721.8,3.1,2291,5.9,27710,110.4332,60.8,388,3.5,5522.5,0.0,0,32,134.5,1.676,0.0,119.8,0.268,64.0,64.0,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
132,대구광역시 북구 검단동,북구,2723068000,36.38,14.26,33.49,78.53,17.78,39.53,70.0,30,5414,5414,1.0,1.154,0.0,2662.0,8.0,574,3.02,27230,3.7681,1436.8,190,50.4,2658.8,0.0,0,6,208.6,1.7306,0.0,136.9,0.1579,174.6,174.6,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
133,대구광역시 북구 산격1동,북구,2723061000,35.81,25.54,36.98,79.87,18.12,8.19,52.35,36,7370,7370,1.0,1.064,0.0,2185.0,17.4,69,0.28,27230,0.8679,8491.8,247,284.6,2197.3,0.0,0,5,71.8,1.7525,0.0,55.9,0.1457,199.2,199.2,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
134,대구광역시 서구 비산6동,서구,2717060000,34.96,35.44,34.83,44.96,28.86,17.55,45.3,31,6319,6319,1.0,1.007,0.0,970.2,55.8,200,0.89,27170,0.2715,23274.4,225,828.7,935.7,0.0,0,7,166.1,1.6884,0.0,134.4,0.1378,197.5,197.5,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
135,대구광역시 북구 산격4동,북구,2723063100,34.52,26.17,35.64,41.11,18.79,42.42,63.09,56,6961,6961,1.0,1.112,0.0,2017.7,40.7,595,1.62,27230,0.7157,9726.1,368,514.2,2035.1,0.0,0,6,252.6,1.8845,0.0,254.4,0.1522,122.1,122.1,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
136,대구광역시 서구 평리1동,서구,2717062000,34.38,30.6,34.56,83.9,28.52,8.86,5.37,23,6126,6126,1.0,0.57,0.0,970.3,23.9,68,0.23,27170,0.3656,16756.0,295,806.9,1031.4,0.0,0,4,102.6,1.7586,0.0,77.0,0.078,255.2,255.2,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
137,대구광역시 동구 도평동,동구,2714061500,34.23,9.9,31.88,88.26,16.78,7.38,83.89,13,3371,3371,1.0,1.319,0.0,3074.9,8.1,41,0.57,27140,19.9271,169.2,72,3.6,2629.1,0.0,0,3,4.2,1.635,0.0,2.5,0.1806,240.8,240.8,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
138,대구광역시 북구 복현1동,북구,2723067100,34.08,38.56,35.91,25.17,20.13,33.62,51.68,72,7131,7131,1.0,1.063,0.0,1749.4,48.9,333,0.67,27230,0.3619,19704.3,495,1367.8,1714.4,0.0,0,10,312.4,1.6966,0.0,324.9,0.1455,97.7,97.7,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
139,대구광역시 서구 평리6동,서구,2717066100,33.7,19.5,33.22,91.78,21.81,30.27,11.41,15,5391,5391,1.0,0.63,0.0,1560.1,8.9,317,1.82,27170,0.7464,7222.7,174,233.1,1588.9,0.0,0,10,129.4,1.7879,0.0,141.8,0.0862,336.9,336.9,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
140,대구광역시 남구 대명11동,남구,2720066000,33.38,30.84,36.18,20.47,41.74,52.08,23.49,71,7152,7152,1.0,0.845,0.0,691.0,56.1,711,1.16,27200,0.8477,8436.9,614,724.3,687.2,0.0537,0,19,454.2,1.5689,0.0141,481.5,0.1156,99.3,99.3,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
141,대구광역시 달성군 하빈면,달성군,2771033000,33.26,10.0,31.61,51.84,16.44,39.6,97.32,42,3104,3104,1.0,1.734,0.0,3257.8,6.0,850,4.8,27710,37.7234,82.3,177,4.7,3593.4,0.0,0,16,16.9,1.703,0.0,11.2,0.2373,72.2,72.2,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
142,대구광역시 군위군 군위읍,군위군,2772025000,32.46,22.78,39.13,46.64,11.41,2.35,88.59,105,7901,7901,1.0,1.372,0.0,31011.6,24.5,0,0.0,27720,82.95,95.3,559,6.7,30678.1,0.0,0,0,0.0,1.7561,0.0,0.0,0.1878,74.5,74.5,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
143,대구광역시 군위군 소보면,군위군,2772031000,30.95,7.79,31.34,74.16,11.07,2.35,93.29,13,2221,2221,1.0,1.507,0.0,34015.9,7.1,0,0.0,27720,99.6768,22.3,63,0.6,34386.7,0.0,0,0,0.0,1.6534,0.0,0.0,0.2063,158.6,158.6,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
144,대구광역시 군위군 효령면,군위군,2772032000,30.77,9.8,32.42,69.46,13.09,2.35,87.25,26,3639,3639,1.0,1.357,0.0,20186.4,1.7,0,0.0,27720,96.6177,37.7,140,1.4,19823.3,0.0,0,0,0.0,1.6874,0.0,0.0,0.1857,134.8,134.8,한식,all,한식 음식점,전체 인구,중분류 (한식 음식점)
