년월,정류소명,승차,하차
2016-01-01,경북대체육센터앞,4112,4242
2016-01-01,경북대학교병원건너,13097,7066
2016-01-01,경북대학교병원앞,26711,4485
2016-01-01,경북대학교북문건너,59461,2168
2016-01-01,경북대학교북문앞,27567,5356
2016-01-01,경북대학교서문건너,7158,1233
2016-01-01,경북대학교서문앞,2846,906
2016-01-01,경북대학교정문건너,7342,2828
2016-01-01,경북대학교정문앞,20026,4338
2016-01-01,경북대학교치과병원,14326,7359
2016-01-01,경북아파트건너(고산동),14353,3053
2016-01-01,경북아파트건너(신천동),8012,10266
2016-01-01,경북아파트앞(고산동),11961,4135
2016-01-01,경북아파트앞(신천동),4144,3087
2016-01-01,경북여상건너,8387,8392
2016-01-01,경북여상앞,11644,1917
2016-01-01,경북크랑크,2153,38
2016-01-01,경상감영공원건너,82846,13235
2016-01-01,경상감영공원앞,62132,36569
2016-01-01,경상북도농업인회관,2,4
2016-01-01,경상여자고등학교건너,2841,411
2016-01-01,경상여자고등학교앞,4864,3967
2016-01-01,경서중학교건너,1208,488
2016-01-01,경서중학교앞,10382,128
2016-01-01,경신고등학교건너,38660,6108
2016-01-01,경신고등학교앞,34081,8210
2016-01-01,경운초등학교건너,1301,539
2016-01-01,경운초등학교앞,3378,1071
2016-01-01,경원고등학교건너,720,37
2016-01-01,경원고등학교앞,919,202
2016-01-01,경일여자중학교건너,12664,2225
2016-01-01,경일여자중학교앞,3048,1826
2016-01-01,경주최씨종가(종점),789,140
2016-01-01,경주최씨종가1,3,0
2016-01-01,경주최씨종가2,13,0
2016-01-01,경진테크빌앞,744,1112
2016-01-01,경창산업,1446,167
2016-01-01,경희강재건너,1001,559
2016-01-01,경희강재앞,2921,82
2016-01-01,계명대대명캠퍼스후문건너,1814,700
2016-01-01,계명대역(1번출구),1197,1029
2016-01-01,계명대역(2번출구),4026,2731
2016-01-01,계명대학교대명캠퍼스건너,9082,3162
2016-01-01,계명대학교대명캠퍼스앞,9217,5994
2016-01-01,계명대학교대명캠퍼스후문앞,1825,564
2016-01-01,계명대학교동문건너1,4432,423
2016-01-01,계명대학교동문건너2,19981,5455
2016-01-01,계명대학교동문앞,10475,6707
2016-01-01,계명대학교정문건너,14672,1313
2016-01-01,계명대학교정문앞,3291,2567
2016-01-01,계명문화대학건너,5171,794
2016-01-01,계명문화대학앞,4970,9860
2016-01-01,고모동입구,4213,229
2016-01-01,고모역건너,432,50
2016-01-01,고모역앞,56,3
2016-01-01,고봉리,18,0
2016-01-01,고산2동주민센터건너,9322,2570
2016-01-01,고산2동주민센터앞,15773,682
2016-01-01,고산골입구,4243,551
2016-01-01,고산농협창고건너,480,172
2016-01-01,고산농협창고앞,524,2438
2016-01-01,고산도서관,14108,5815
2016-01-01,고산정수사업소건너,1952,454
2016-01-01,고성아파트(서편),5696,2365
2016-01-01,고성아파트건너,1066,14
2016-01-01,고성아파트건너(서편),2993,1549
2016-01-01,고성아파트앞,89,123
2016-01-01,고성지구대1,754,464
2016-01-01,고성지구대2,2364,2295
2016-01-01,골안골,0,1
2016-01-01,골안골지하보도앞,2,6
2016-01-01,공고네거리1,21313,7939
2016-01-01,공고네거리2,7035,2662
2016-01-01,공군기지관사입구,3,12
2016-01-01,공단역1,9616,7718
2016-01-01,공단역2,14979,5881
2016-01-01,공단하수처리장건너,59,390
2016-01-01,공단하수처리장앞,182,19
2016-01-01,공산댐건너,1072,51
2016-01-01,공산댐앞,23,51
2016-01-01,공산동행정복지센터건너,906,392
2016-01-01,공산동행정복지센터앞,4183,216
2016-01-01,공산초등학교건너,199,91
2016-01-01,공산초등학교앞,1979,73
2016-01-01,공산파출소,44,46
2016-01-01,공항시장건너,9463,709
2016-01-01,공항시장앞,3811,1503
2016-01-01,곽병원건너,41476,20268
2016-01-01,곽병원앞1,20424,7830
2016-01-01,곽병원앞2,7153,2807
2016-01-01,관리공단,357,121
2016-01-01,관음공영주차장앞,1163,55
2016-01-01,관음농협앞,791,74
2016-01-01,관음동주민센터건너,600,56
2016-01-01,관음동주민센터앞,1177,57
2016-01-01,관음변전소1,5356,120
2016-01-01,관음변전소2,25,255
2016-01-01,관음변전소3,108,0
2016-01-01,관음어린이집,836,80
2016-01-01,관음중학교(북편),1052,48
2016-01-01,광명은하아파트건너,5712,4577
2016-01-01,광명은하아파트앞,14547,966
2016-01-01,광명프레지던트아파트건너,8451,4525
2016-01-01,광장타운건너,11253,3123
2016-01-01,광장타운앞,11447,2286
2016-01-01,교대부설초등학교건너,3617,224
2016-01-01,교대부설초등학교앞,225,905
2016-01-01,교동시장앞,3073,995
2016-01-01,교동초등학교건너,583,68
2016-01-01,교동초등학교앞,1409,280
2016-01-01,교통연수원,7770,435
2016-01-01,교통연수원건너,4283,1603
2016-01-01,교항2리마을입구,1,42
2016-01-01,교항2리회관,3868,20
2016-01-01,교항리건너,1063,6
2016-01-01,교항리마을입구건너,38,1
2016-01-01,교항리앞,256,215
2016-01-01,구)달성군청건너,9963,2644
2016-01-01,구)달성군청앞,24894,16300
2016-01-01,구)대영학원건너,14338,3067
2016-01-01,구)대영학원앞,14682,7448
2016-01-01,구)효목2동행정복지센터건너,11920,979
2016-01-01,구)효목2동행정복지센터앞,5188,1198
2016-01-01,구.남부정류장건너1,9654,8594
2016-01-01,구.남부정류장건너2,8016,4938
2016-01-01,구.남부정류장앞1,20475,3814
2016-01-01,구.남부정류장앞2,3175,1376
2016-01-01,구.동부정류장(남편),4540,615
2016-01-01,구.동부정류장(메트로팔레스),10051,4032
2016-01-01,구.동부정류장건너,14565,1349
2016-01-01,구.동부정류장앞,6642,3487
2016-01-01,구둔산,507,10
2016-01-01,구룡촌건너,0,1
2016-01-01,구룡촌앞,32,0
2016-01-01,구병원건너,278,2649
2016-01-01,구병원앞,18734,4210
2016-01-01,구삼폭포건너,0,10
2016-01-01,구삼폭포앞,33,0
2016-01-01,구암가구골목1,1287,727
2016-01-01,구암가구골목2,553,164
2016-01-01,구암교1,3035,1079
2016-01-01,구암교2,1465,825
2016-01-01,구암동1,460,18
2016-01-01,구암동2,136,285
2016-01-01,구암역(운전면허시험장)1,2715,494
2016-01-01,구암역(운전면허시험장)2,1856,363
2016-01-01,구암초등학교건너,1125,165
2016-01-01,구암초등학교앞,2360,92
2016-01-01,구지농공단지1,4,1
2016-01-01,구지농공단지2,204,0
2016-01-01,구지면사무소건너,415,351
2016-01-01,구지면사무소앞,1919,180
2016-01-01,구지청아람건너,4717,145
2016-01-01,구지청아람앞,875,304
2016-01-01,국립대구과학관정문건너,242,69
