년월,정류소명,승차,하차
2013-01-01,(주)성안건너,62,253
2013-01-01,(주)영화건너,2,93
2013-01-01,(주)영화앞,465,1
2013-01-01,1차서한화성타운앞,693,123
2013-01-01,2.28기념중앙공원건너1,65559,16335
2013-01-01,2.28기념중앙공원건너2,19906,8939
2013-01-01,2.28기념중앙공원앞,180224,31767
2013-01-01,2차대자연맨션건너,1873,884
2013-01-01,2차대자연맨션앞,9626,576
2013-01-01,2차서한화성타운건너,36711,2370
2013-01-01,2차서한화성타운앞,17365,4117
2013-01-01,2호선반월당역1,18143,4452
2013-01-01,2호선반월당역2,16538,6589
2013-01-01,3공단새마을금고앞,5418,1346
2013-01-01,CGV대구한일건너,114337,31803
2013-01-01,CGV대구한일앞,35588,8739
2013-01-01,K-2입구,1865,334
2013-01-01,K2관사입구(종점),334,51
2013-01-01,KT남대구지사건너1,16761,3954
2013-01-01,KT남대구지사건너2,1721,695
2013-01-01,KT남대구지사앞1,21359,8552
2013-01-01,KT남대구지사앞2,1553,593
2013-01-01,KT동대구지사건너,28288,8206
2013-01-01,KT동대구지사앞,16843,3167
2013-01-01,KT북대구지사건너,4097,433
2013-01-01,KT북대구지사앞,3416,717
2013-01-01,KT상동지사건너,3665,467
2013-01-01,KT상동지사앞,834,687
2013-01-01,KT서대구지사건너,20334,2921
2013-01-01,KT서대구지사앞,18741,3524
2013-01-01,LG물류센터건너,2915,1784
2013-01-01,LG물류센터앞,8097,989
2013-01-01,MBC네거리,10370,1946
2013-01-01,SK리더스뷰건너,12494,1291
2013-01-01,SK리더스뷰앞,5408,2429
2013-01-01,STX메탈건너,1780,1994
2013-01-01,STX메탈앞,2011,237
2013-01-01,TBC건너,10787,631
2013-01-01,TBC앞,3396,2581
2013-01-01,TCN대구방송건너,1994,209
2013-01-01,TCN대구방송앞,3197,273
2013-01-01,㈜윔스건너,192,21
2013-01-01,㈜윔스앞,437,6
2013-01-01,가야농원,181,3
2013-01-01,가창농협건너,1221,2028
2013-01-01,가창농협앞,9253,940
2013-01-01,가창댐,3,16
2013-01-01,가창댐1,7,1
2013-01-01,가창면사무소건너,5736,3095
2013-01-01,가창면사무소앞,9353,1958
2013-01-01,가창중학교건너,4172,88
2013-01-01,가창중학교앞,204,223
2013-01-01,가창초등학교건너,313,336
2013-01-01,가창초등학교앞,733,130
2013-01-01,가천동앞,127,12
2013-01-01,가천리,26,0
2013-01-01,각산역(1번출구),8399,916
2013-01-01,각산역(2번출구),1356,1468
2013-01-01,갈실마을회관종점,347,6
2013-01-01,감문1리1,5,4
2013-01-01,감문1리2,182,1
2013-01-01,감문1리3,2,0
2013-01-01,감문1리4,164,0
2013-01-01,감삼네거리1,18128,5393
2013-01-01,감삼네거리2,56396,40853
2013-01-01,감삼초등학교건너,13833,1089
2013-01-01,감삼초등학교앞,5662,843
2013-01-01,갓골건너,570,0
2013-01-01,갓골앞,7,20
2013-01-01,갓바위,17674,394
2013-01-01,강남약국건너,47672,19987
2013-01-01,강남약국앞1,28758,9265
2013-01-01,강남약국앞2,9588,1465
2013-01-01,강동중·고등학교,8,420
2013-01-01,강동중·고등학교건너,6135,13
2013-01-01,강변동서마을건너,5828,532
2013-01-01,강변동서마을앞,2823,964
2013-01-01,강북경찰서건너,1308,950
2013-01-01,강북경찰서앞,3662,670
2013-01-01,강북중학교건너,23,688
2013-01-01,강북중학교앞,9766,10
2013-01-01,강산아파트건너,4796,2293
2013-01-01,강산아파트앞,5510,561
2013-01-01,강정(종점),0,1
2013-01-01,강정보(디아크문화관)건너,10,2
2013-01-01,강정보(디아크문화관)입구,135,2
2013-01-01,강창교1,4641,90
2013-01-01,강창교2,150,346
2013-01-01,강창역(1번출구),4348,2004
2013-01-01,강창역(2번출구),22479,1880
2013-01-01,강창하이츠,10501,268
2013-01-01,거동교1,1145,89
2013-01-01,거동교2,1031,545
2013-01-01,건들바위건너,1342,232
2013-01-01,건들바위앞,710,566
2013-01-01,건영아파트건너,17538,3092
2013-01-01,건영캐스빌건너,12992,329
2013-01-01,건영캐스빌앞,243,521
2013-01-01,검단119안전센터(엑스코),72,54
2013-01-01,검단동대구축협앞,5196,41
2013-01-01,검단동주민센터건너,12756,75
2013-01-01,검단동주민센터앞,122,1075
2013-01-01,검단상가아파트건너,3040,19
2013-01-01,검단상가아파트앞,24,35
2013-01-01,검단유성아파트(서편),9260,3781
2013-01-01,검단유성아파트건너,5833,2441
2013-01-01,검단유성아파트앞,17214,4834
2013-01-01,경기장네거리1,4505,777
2013-01-01,경기장네거리2,4043,1106
2013-01-01,경대교2,2318,386
2013-01-01,경대교건너,863,52
2013-01-01,경대교앞,759,221
2013-01-01,경대사대부설고등학교앞,21008,8107
2013-01-01,경대아파트건너,31251,1291
2013-01-01,경대아파트앞,6886,2499
2013-01-01,경덕여고,692,102
2013-01-01,경동산업앞,25,0
2013-01-01,경명여고건너,2768,385
2013-01-01,경명여고앞,2115,523
2013-01-01,경북고교종점,475,279
2013-01-01,경북고등학교건너,11890,4052
2013-01-01,경북고등학교앞,17500,3044
2013-01-01,경북고등학교종점건너,819,297
2013-01-01,경북공고건너,5300,2323
2013-01-01,경북공고앞,8183,2442
2013-01-01,경북공무원교육원1,642,90
2013-01-01,경북공무원교육원2,26,19
2013-01-01,경북교통,1878,1023
2013-01-01,경북교통앞,3146,1012
2013-01-01,경북기계공고건너,18667,1988
2013-01-01,경북기계공고앞,8138,3814
2013-01-01,경북농업기술원건너,126,53
2013-01-01,경북농업기술원앞,569,10
2013-01-01,경북대체육센터건너,37097,587
2013-01-01,경북대체육센터앞,4467,2055
2013-01-01,경북대학교병원건너,25173,8427
2013-01-01,경북대학교병원앞,40617,8603
2013-01-01,경북대학교북문건너,59629,4809
2013-01-01,경북대학교북문앞,33787,8759
2013-01-01,경북대학교서문건너,10883,1116
2013-01-01,경북대학교서문앞,3507,885
2013-01-01,경북대학교정문건너,9872,3449
2013-01-01,경북대학교정문앞,24021,3154
2013-01-01,경북대학교치과병원,23366,10855
2013-01-01,경북아파트건너(고산동),32910,2227
2013-01-01,경북아파트건너(신천동),8694,4191
2013-01-01,경북아파트앞(고산동),11590,3240
2013-01-01,경북아파트앞(신천동),4911,1107
2013-01-01,경북여상건너,11488,6169
2013-01-01,경북여상앞,12228,2171
2013-01-01,경북크랑크,1893,32
2013-01-01,경상감영공원건너,135796,26918
2013-01-01,경상감영공원앞,66514,43805
2013-01-01,경상북도농업인회관,236,21
2013-01-01,경상여자고등학교건너,3165,549
2013-01-01,경상여자고등학교앞,10011,1186
2013-01-01,경서중학교건너,266,330
2013-01-01,경서중학교앞,3603,42
