년월,정류소명,승차,하차
2019-01-01,(주)성안건너,50,333
2019-01-01,(주)영화건너,1,77
2019-01-01,(주)영화앞,552,4
2019-01-01,1차서한화성타운건너,310,129
2019-01-01,1차서한화성타운앞,642,81
2019-01-01,2.28기념중앙공원건너1,54628,12385
2019-01-01,2.28기념중앙공원건너2,5856,4192
2019-01-01,2.28기념중앙공원앞,124812,15446
2019-01-01,2차대자연맨션건너,1741,740
2019-01-01,2차대자연맨션앞,8521,1076
2019-01-01,2차서한화성타운건너,37662,1867
2019-01-01,2차서한화성타운앞,16008,3796
2019-01-01,2호선반월당역1,21232,4489
2019-01-01,2호선반월당역2,13218,4025
2019-01-01,CBS방송국건너,5955,2404
2019-01-01,CBS방송국앞,3950,1665
2019-01-01,CGV대구한일건너,111712,21920
2019-01-01,CGV대구한일앞,31634,3462
2019-01-01,CMB대구방송,2733,1557
2019-01-01,DGB대구은행파크남편건너,1198,263
2019-01-01,DGB대구은행파크남편앞,1294,480
2019-01-01,DGB대구은행파크동편건너,3215,3582
2019-01-01,DGB대구은행파크동편앞,2327,398
2019-01-01,e-편한세상월배건너,1125,134
2019-01-01,e-편한세상월배앞,147,129
2019-01-01,e편한세상대구금호건너,12664,199
2019-01-01,e편한세상대구금호앞,426,470
2019-01-01,IHL건너,1,0
2019-01-01,IHL앞,3,0
2019-01-01,K-2입구,2710,748
2019-01-01,K2관사입구(종점),1274,49
2019-01-01,KT남대구지사건너1,9776,3713
2019-01-01,KT남대구지사건너2,2909,1253
2019-01-01,KT남대구지사앞1,21373,7181
2019-01-01,KT남대구지사앞2,1658,2149
2019-01-01,KT동대구지사건너,21345,15463
2019-01-01,KT동대구지사앞,14418,2091
2019-01-01,KT북대구지사건너,1927,198
2019-01-01,KT북대구지사앞,3159,502
2019-01-01,KT상동지사건너,2275,249
2019-01-01,KT상동지사앞,923,618
2019-01-01,KT서대구지사건너,19132,3188
2019-01-01,KT서대구지사앞,13150,5607
2019-01-01,LG물류센터건너,3215,2208
2019-01-01,LG물류센터앞,5359,3357
2019-01-01,LH10단지아파트건너,351,3059
2019-01-01,LH10단지아파트앞,1243,966
2019-01-01,LH13단지아파트앞,1,19
2019-01-01,LH14단지아파트,1399,289
2019-01-01,LH5단지아파트건너,1587,498
2019-01-01,LH5단지아파트앞,1102,81
2019-01-01,LH5단지아파트후문앞,411,650
2019-01-01,LH천년나무2단지건너,9962,349
2019-01-01,LH천년나무2단지앞,1498,715
2019-01-01,NH농협혁신도시지점건너,17,129
2019-01-01,NH농협혁신도시지점앞,3334,195
2019-01-01,SD아이프라임강북아파트,4919,425
2019-01-01,SK리더스뷰건너,7922,1600
2019-01-01,SK리더스뷰앞,4522,1994
2019-01-01,STX메탈건너,1239,3763
2019-01-01,STX메탈앞,38,842
2019-01-01,TBC건너,11150,935
2019-01-01,TBC앞,2679,2304
2019-01-01,㈜윔스건너,103,203
2019-01-01,㈜윔스앞,332,16
2019-01-01,가창농협건너,2471,2394
2019-01-01,가창농협앞,10700,531
2019-01-01,가창댐,4,0
2019-01-01,가창댐1,14,64
2019-01-01,가창면사무소건너,3645,1451
2019-01-01,가창면사무소앞,7773,1044
2019-01-01,가창중학교건너,590,7
2019-01-01,가창중학교앞,78,110
2019-01-01,가창초등학교건너,3089,409
2019-01-01,가창초등학교앞,1121,74
2019-01-01,가천동건너,169,17
2019-01-01,가천동앞,13,15
2019-01-01,가천리,92,14
2019-01-01,가태2리마을입구,11,0
2019-01-01,가태리마을회관건너,97,2
2019-01-01,가태리마을회관앞,8,1
2019-01-01,각산비나리공원건너,729,111
2019-01-01,각산비나리공원앞,1923,147
2019-01-01,각산역(1번출구),4634,1745
2019-01-01,각산역(2번출구),1528,1467
2019-01-01,각산푸르지오건너,3895,2709
2019-01-01,각산푸르지오앞,2168,1209
2019-01-01,갈실마을회관종점,425,5
2019-01-01,감문1리1,4,1
2019-01-01,감문1리2,301,1
2019-01-01,감문1리3,0,4
2019-01-01,감문1리4,32,1
2019-01-01,감문리(삼실)앞,6,8
2019-01-01,감삼네거리1,13283,4768
2019-01-01,감삼네거리2,34720,17985
2019-01-01,감삼초등학교건너,6840,1730
2019-01-01,감삼초등학교앞,6634,1307
2019-01-01,갓골건너,203,0
2019-01-01,갓골앞,1,22
2019-01-01,갓바위,14061,71
2019-01-01,강남약국건너,48723,10626
2019-01-01,강남약국앞1,28483,7826
2019-01-01,강남약국앞2,8839,987
2019-01-01,강동중·고등학교,1,80
2019-01-01,강동중·고등학교건너,1039,3
2019-01-01,강동초교건너,845,7
2019-01-01,강동초교앞,7,57
2019-01-01,강변동서마을건너,4969,317
