년월,정류소명,승차,하차
2017-01-01,(주)성안건너,51,201
2017-01-01,(주)영화건너,2,84
2017-01-01,(주)영화앞,816,4
2017-01-01,1차서한화성타운건너,322,121
2017-01-01,1차서한화성타운앞,563,85
2017-01-01,2.28기념중앙공원건너1,54821,13146
2017-01-01,2.28기념중앙공원건너2,5630,3783
2017-01-01,2.28기념중앙공원앞,127406,15036
2017-01-01,2차대자연맨션건너,1594,709
2017-01-01,2차대자연맨션앞,8009,1022
2017-01-01,2차서한화성타운건너,35753,1693
2017-01-01,2차서한화성타운앞,16400,3146
2017-01-01,2호선반월당역1,18413,3981
2017-01-01,2호선반월당역2,12941,3604
2017-01-01,3공단새마을금고앞,3250,1160
2017-01-01,CGV대구한일건너,116701,21238
2017-01-01,CGV대구한일앞,33924,3372
2017-01-01,e-편한세상월배건너,758,121
2017-01-01,e-편한세상월배앞,204,48
2017-01-01,e편한세상대구금호건너,5874,26
2017-01-01,e편한세상대구금호앞,111,223
2017-01-01,IHL건너,6,0
2017-01-01,IHL앞,0,1
2017-01-01,K-2입구,2224,680
2017-01-01,K2관사입구(종점),1345,61
2017-01-01,KT남대구지사건너1,9187,3502
2017-01-01,KT남대구지사건너2,1866,754
2017-01-01,KT남대구지사앞1,19474,6958
2017-01-01,KT남대구지사앞2,1269,1865
2017-01-01,KT동대구지사건너,23546,13189
2017-01-01,KT동대구지사앞,15761,2148
2017-01-01,KT북대구지사건너,1954,191
2017-01-01,KT북대구지사앞,3459,471
2017-01-01,KT상동지사건너,2036,259
2017-01-01,KT상동지사앞,964,423
2017-01-01,KT서대구지사건너,18706,2797
2017-01-01,KT서대구지사앞,12777,4947
2017-01-01,LG물류센터건너,2910,2213
2017-01-01,LG물류센터앞,6077,3549
2017-01-01,LH10단지아파트건너,33,883
2017-01-01,LH10단지아파트앞,44,93
2017-01-01,LH5단지아파트건너,3017,278
2017-01-01,LH5단지아파트앞,420,341
2017-01-01,LH5단지후문건너,1676,401
2017-01-01,LH5단지후문앞,795,64
2017-01-01,LH천년나무2단지건너,805,80
2017-01-01,LH천년나무2단지앞,165,88
2017-01-01,MBC네거리,8966,1780
2017-01-01,NH농협혁신도시지점건너,8,72
2017-01-01,NH농협혁신도시지점앞,2394,90
2017-01-01,SK리더스뷰건너,7718,1595
2017-01-01,SK리더스뷰앞,4347,1839
2017-01-01,STX메탈건너,1144,4130
2017-01-01,STX메탈앞,16,597
2017-01-01,TBC건너,10557,801
2017-01-01,TBC앞,2510,1659
2017-01-01,TCN대구방송건너,1856,261
2017-01-01,TCN대구방송앞,2652,524
2017-01-01,㈜윔스건너,199,207
2017-01-01,㈜윔스앞,467,5
2017-01-01,가야농원,175,10
2017-01-01,가창농협건너,1764,1867
2017-01-01,가창농협앞,9441,513
2017-01-01,가창댐,0,2
2017-01-01,가창댐1,55,77
2017-01-01,가창면사무소건너,3820,1442
2017-01-01,가창면사무소앞,7637,1015
2017-01-01,가창중학교건너,1052,79
2017-01-01,가창중학교앞,60,78
2017-01-01,가창초등학교건너,3975,620
2017-01-01,가창초등학교앞,2042,329
