년월,정류소명,승차,하차
2014-01-01,(주)성안건너,20,101
2014-01-01,(주)영화건너,2,129
2014-01-01,(주)영화앞,535,0
2014-01-01,1차서한화성타운건너,215,77
2014-01-01,1차서한화성타운앞,545,74
2014-01-01,2.28기념중앙공원건너1,64783,12369
2014-01-01,2.28기념중앙공원건너2,19777,11879
2014-01-01,2.28기념중앙공원앞,146935,17049
2014-01-01,2차대자연맨션건너,2156,781
2014-01-01,2차대자연맨션앞,7383,959
2014-01-01,2차서한화성타운건너,32685,2189
2014-01-01,2차서한화성타운앞,16712,2831
2014-01-01,2호선반월당역1,25555,5491
2014-01-01,2호선반월당역2,15672,4998
2014-01-01,3공단새마을금고앞,4701,1548
2014-01-01,CGV대구한일건너,115005,19109
2014-01-01,CGV대구한일앞,32360,5276
2014-01-01,IHL건너,66,3
2014-01-01,IHL앞,59,4
2014-01-01,K-2입구,1987,528
2014-01-01,K2관사입구(종점),1964,48
2014-01-01,KT남대구지사건너1,10275,3234
2014-01-01,KT남대구지사건너2,1591,612
2014-01-01,KT남대구지사앞1,21441,7592
2014-01-01,KT남대구지사앞2,1126,1851
2014-01-01,KT동대구지사건너,24794,13360
2014-01-01,KT동대구지사앞,16517,2066
2014-01-01,KT북대구지사건너,3658,343
2014-01-01,KT북대구지사앞,6497,645
2014-01-01,KT상동지사건너,3032,232
2014-01-01,KT상동지사앞,841,465
2014-01-01,KT서대구지사건너,21837,2671
2014-01-01,KT서대구지사앞,16783,6628
2014-01-01,LG물류센터건너,2852,1593
2014-01-01,LG물류센터앞,7444,3432
2014-01-01,LH5단지아파트앞,519,18
2014-01-01,MBC네거리,9203,2601
2014-01-01,SK리더스뷰건너,13985,2057
2014-01-01,SK리더스뷰앞,5566,1915
2014-01-01,STX메탈건너,1169,3956
2014-01-01,STX메탈앞,35,692
2014-01-01,TBC건너,12714,591
2014-01-01,TBC앞,2946,2042
2014-01-01,TCN대구방송건너,1988,262
2014-01-01,TCN대구방송앞,2637,369
2014-01-01,㈜윔스건너,139,182
2014-01-01,㈜윔스앞,253,27
2014-01-01,가야농원,206,0
2014-01-01,가창농협건너,2254,2664
2014-01-01,가창농협앞,8867,329
2014-01-01,가창댐,4,1
2014-01-01,가창면사무소건너,4473,1696
2014-01-01,가창면사무소앞,8707,737
2014-01-01,가창중학교건너,416,18
2014-01-01,가창중학교앞,88,94
2014-01-01,가창초등학교건너,3518,312
2014-01-01,가창초등학교앞,660,30
2014-01-01,가천동앞,123,8
2014-01-01,가천리,74,22
2014-01-01,가태리마을회관건너,294,0
2014-01-01,가태리마을회관앞,7,11
2014-01-01,각산역(1번출구),7199,1264
2014-01-01,각산역(2번출구),1308,1095
2014-01-01,갈실마을회관종점,360,5
2014-01-01,감문1리1,7,0
2014-01-01,감문1리2,343,0
2014-01-01,감문1리3,0,14
2014-01-01,감문1리4,16,0
2014-01-01,감삼네거리1,16162,5617
2014-01-01,감삼네거리2,52518,23932
2014-01-01,감삼초등학교건너,8137,1515
2014-01-01,감삼초등학교앞,6729,995
2014-01-01,갓골건너,459,0
2014-01-01,갓골앞,0,18
2014-01-01,갓바위,22712,14
2014-01-01,강남약국건너,51750,11658
2014-01-01,강남약국앞1,26514,7792
2014-01-01,강남약국앞2,9225,1279
2014-01-01,강동중·고등학교,4,185
2014-01-01,강동중·고등학교건너,5346,14
2014-01-01,강변동서마을건너,5427,231
2014-01-01,강변동서마을앞,3011,1339
2014-01-01,강북경찰서건너,1272,906
2014-01-01,강북경찰서앞,1828,425
2014-01-01,강북중학교건너,110,1255
2014-01-01,강북중학교앞,8944,15
2014-01-01,강산아파트건너,4336,7990
2014-01-01,강산아파트앞,5624,1141
2014-01-01,강정(종점),14,0
2014-01-01,강정보(디아크문화관)건너,24,4
2014-01-01,강정보(디아크문화관)입구,185,1
2014-01-01,강창교1,3261,215
2014-01-01,강창교2,117,702
2014-01-01,강창역(1번출구),5260,585
2014-01-01,강창역(2번출구),21915,945
2014-01-01,강창하이츠,7983,545
2014-01-01,거동교1,656,366
2014-01-01,거동교2,425,612
2014-01-01,건들바위건너,1133,717
2014-01-01,건들바위앞,566,1627
2014-01-01,건영아파트건너,12747,7732
2014-01-01,건영캐스빌건너,11917,1337
2014-01-01,건영캐스빌앞,720,883
2014-01-01,검단119안전센터(엑스코),47,36
2014-01-01,검단동대구축협앞,5106,57
2014-01-01,검단동주민센터1,11,1
2014-01-01,검단동주민센터2,3,128
2014-01-01,검단동주민센터건너,10902,87
2014-01-01,검단동주민센터앞,48,531
2014-01-01,검단상가아파트건너,217,19
2014-01-01,검단상가아파트앞,335,63
2014-01-01,검단유성아파트(서편),7677,1570
2014-01-01,검단유성아파트건너,5548,1188
2014-01-01,검단유성아파트앞,16837,4047
