년월,정류소명,승차,하차
2015-01-01,(주)성안건너,13,72
2015-01-01,(주)영화건너,0,86
2015-01-01,(주)영화앞,457,3
2015-01-01,1차서한화성타운건너,186,64
2015-01-01,1차서한화성타운앞,406,56
2015-01-01,2.28기념중앙공원건너1,46900,8976
2015-01-01,2.28기념중앙공원건너2,14965,8372
2015-01-01,2.28기념중앙공원앞,102874,12147
2015-01-01,2차대자연맨션건너,1483,569
2015-01-01,2차대자연맨션앞,5750,691
2015-01-01,2차서한화성타운건너,25692,1555
2015-01-01,2차서한화성타운앞,13306,2480
2015-01-01,2호선반월당역1,20152,4204
2015-01-01,2호선반월당역2,11387,3707
2015-01-01,3공단새마을금고앞,3643,998
2015-01-01,CGV대구한일건너,83441,13780
2015-01-01,CGV대구한일앞,23741,3673
2015-01-01,e편한세상대구금호건너,53,0
2015-01-01,e편한세상대구금호앞,213,8
2015-01-01,IHL건너,32,0
2015-01-01,IHL앞,13,8
2015-01-01,K-2입구,1723,409
2015-01-01,K2관사입구(종점),1507,23
2015-01-01,KT남대구지사건너1,7896,2226
2015-01-01,KT남대구지사건너2,1252,444
2015-01-01,KT남대구지사앞1,16685,5683
2015-01-01,KT남대구지사앞2,763,1348
2015-01-01,KT동대구지사건너,20062,10068
2015-01-01,KT동대구지사앞,13762,1491
2015-01-01,KT북대구지사건너,2507,209
2015-01-01,KT북대구지사앞,5012,525
2015-01-01,KT상동지사건너,2464,209
2015-01-01,KT상동지사앞,768,335
2015-01-01,KT서대구지사건너,16677,1928
2015-01-01,KT서대구지사앞,12689,5027
2015-01-01,LG물류센터건너,2105,1166
2015-01-01,LG물류센터앞,5881,2560
2015-01-01,LH5단지아파트건너,758,143
2015-01-01,LH5단지아파트앞,194,65
2015-01-01,MBC네거리,6788,1721
2015-01-01,SK리더스뷰건너,10759,1557
2015-01-01,SK리더스뷰앞,4279,1535
2015-01-01,STX메탈건너,974,3267
2015-01-01,STX메탈앞,18,399
2015-01-01,TBC건너,10452,511
2015-01-01,TBC앞,2600,1392
2015-01-01,TCN대구방송건너,1559,187
2015-01-01,TCN대구방송앞,1962,328
2015-01-01,㈜윔스건너,202,148
2015-01-01,㈜윔스앞,324,10
2015-01-01,가야농원,190,4
2015-01-01,가창농협건너,1614,1941
2015-01-01,가창농협앞,7511,273
2015-01-01,가창댐,1,2
2015-01-01,가창면사무소건너,3643,1229
2015-01-01,가창면사무소앞,6357,495
2015-01-01,가창중학교건너,648,3
2015-01-01,가창중학교앞,55,45
2015-01-01,가창초등학교건너,2111,147
2015-01-01,가창초등학교앞,632,16
2015-01-01,가천동앞,57,11
2015-01-01,가천리,122,12
2015-01-01,가태리마을회관건너,158,0
2015-01-01,가태리마을회관앞,6,1
2015-01-01,각산역(1번출구),5059,1048
2015-01-01,각산역(2번출구),1065,859
2015-01-01,각산푸르지오건너,409,400
2015-01-01,각산푸르지오앞,268,97
2015-01-01,갈실마을회관종점,400,2
2015-01-01,감문1리1,11,0
2015-01-01,감문1리2,316,0
2015-01-01,감문1리3,1,2
2015-01-01,감문1리4,15,0
2015-01-01,감삼네거리1,12665,4388
2015-01-01,감삼네거리2,40810,17283
2015-01-01,감삼초등학교건너,6865,1398
2015-01-01,감삼초등학교앞,5222,817
2015-01-01,갓골건너,365,1
2015-01-01,갓골앞,1,23
2015-01-01,갓바위,14937,151
2015-01-01,강남약국건너,38904,8571
2015-01-01,강남약국앞1,19914,5703
2015-01-01,강남약국앞2,7684,1088
