년월,정류소명,승차,하차
2018-01-01,(주)성안건너,399,267
2018-01-01,(주)영화건너,6,101
2018-01-01,(주)영화앞,598,14
2018-01-01,1차서한화성타운건너,328,155
2018-01-01,1차서한화성타운앞,582,91
2018-01-01,2.28기념중앙공원건너1,54552,12889
2018-01-01,2.28기념중앙공원건너2,5437,3940
2018-01-01,2.28기념중앙공원앞,124677,15743
2018-01-01,2차대자연맨션건너,1537,867
2018-01-01,2차대자연맨션앞,8345,1078
2018-01-01,2차서한화성타운건너,36719,1961
2018-01-01,2차서한화성타운앞,16155,3660
2018-01-01,2호선반월당역1,19690,4138
2018-01-01,2호선반월당역2,12393,3751
2018-01-01,3공단새마을금고앞,3492,1220
2018-01-01,CGV대구한일건너,110120,21292
2018-01-01,CGV대구한일앞,31238,3499
2018-01-01,DGB대구은행파크남편건너,1088,280
2018-01-01,DGB대구은행파크남편앞,1337,453
2018-01-01,DGB대구은행파크동편건너,3862,4341
2018-01-01,DGB대구은행파크동편앞,2422,348
2018-01-01,e-편한세상월배건너,909,115
2018-01-01,e-편한세상월배앞,114,89
2018-01-01,e편한세상대구금호건너,10107,234
2018-01-01,e편한세상대구금호앞,211,421
2018-01-01,IHL앞,0,1
2018-01-01,K-2입구,2530,730
2018-01-01,K2관사입구(종점),1219,58
2018-01-01,KT남대구지사건너1,8964,3424
2018-01-01,KT남대구지사건너2,2496,968
2018-01-01,KT남대구지사앞1,19595,7107
2018-01-01,KT남대구지사앞2,1305,2057
2018-01-01,KT동대구지사건너,23009,14562
2018-01-01,KT동대구지사앞,16290,2033
2018-01-01,KT북대구지사건너,1994,227
2018-01-01,KT북대구지사앞,3075,467
2018-01-01,KT상동지사건너,1967,203
2018-01-01,KT상동지사앞,855,647
2018-01-01,KT서대구지사건너,18248,3055
2018-01-01,KT서대구지사앞,12989,5882
2018-01-01,LG물류센터건너,3238,2360
2018-01-01,LG물류센터앞,6136,3486
2018-01-01,LH10단지아파트건너,246,3364
2018-01-01,LH10단지아파트앞,815,682
2018-01-01,LH14단지아파트,850,82
2018-01-01,LH5단지아파트건너,1678,481
2018-01-01,LH5단지아파트앞,995,108
2018-01-01,LH5단지아파트후문앞,409,589
2018-01-01,LH천년나무2단지건너,9207,316
2018-01-01,LH천년나무2단지앞,1437,588
2018-01-01,MBC네거리,10495,1985
2018-01-01,NH농협혁신도시지점건너,11,142
2018-01-01,NH농협혁신도시지점앞,2789,142
2018-01-01,SD아이프라임강북아파트,5134,378
2018-01-01,SK리더스뷰건너,7418,1554
2018-01-01,SK리더스뷰앞,4272,1998
2018-01-01,STX메탈건너,1416,3594
2018-01-01,STX메탈앞,27,892
2018-01-01,TBC건너,10255,834
2018-01-01,TBC앞,2717,1997
2018-01-01,㈜윔스건너,149,247
2018-01-01,㈜윔스앞,333,35
2018-01-01,가야농원,95,2
2018-01-01,가창농협건너,1376,1978
2018-01-01,가창농협앞,9527,494
2018-01-01,가창댐,4,2
2018-01-01,가창댐1,12,81
2018-01-01,가창면사무소건너,3816,1563
2018-01-01,가창면사무소앞,7852,884
2018-01-01,가창중학교건너,696,6
2018-01-01,가창중학교앞,59,121
2018-01-01,가창초등학교건너,2528,294
2018-01-01,가창초등학교앞,1925,341
2018-01-01,가천동건너,17,1
2018-01-01,가천동앞,48,25
2018-01-01,가천리,63,4
2018-01-01,가태리마을회관건너,277,0
2018-01-01,가태리마을회관앞,12,3
2018-01-01,각산비나리공원건너,493,103
2018-01-01,각산비나리공원앞,1787,129
2018-01-01,각산역(1번출구),4511,1246
2018-01-01,각산역(2번출구),1411,1386
2018-01-01,각산푸르지오건너,3935,2446
2018-01-01,각산푸르지오앞,1815,1131
2018-01-01,갈실마을회관종점,413,4
2018-01-01,감문1리1,7,9
2018-01-01,감문1리2,314,0
2018-01-01,감문1리3,0,10
2018-01-01,감문1리4,11,1
2018-01-01,감삼네거리1,13927,4454
2018-01-01,감삼네거리2,35947,17917
2018-01-01,감삼초등학교건너,7883,1605
2018-01-01,감삼초등학교앞,7014,1338
